team,venue_city,venue_country,distance_km
Brunei,Kansas City,USA,14265.0
Brunei,Toronto,Canada,14424.8
Brunei,Dallas,USA,14631.3
Brunei,Vancouver,Canada,11806.3
Brunei,Seattle,USA,11945.9
Brunei,Los Angeles,USA,12952.3
Brunei,San Francisco Bay Area,USA,12488.8
Brunei,Boston,USA,14747.8
Brunei,New York/New Jersey,USA,14845.0
Brunei,Philadelphia,USA,14922.5
Brunei,Houston,USA,14985.2
Brunei,Miami,USA,16209.0
Bulgaria,Mexico City,Mexico,10955.6
Bulgaria,Guadalajara,Mexico,11110.6
Bulgaria,Monterrey,Mexico,10470.1
Bulgaria,Atlanta,USA,8784.7
Bulgaria,Kansas City,USA,8977.7
Bulgaria,Toronto,Canada,7725.3
Bulgaria,Dallas,USA,9664.3
Bulgaria,Vancouver,Canada,9277.1
Bulgaria,Seattle,USA,9423.7
Bulgaria,Los Angeles,USA,10642.1
Bulgaria,San Francisco Bay Area,USA,10441.4
Bulgaria,Boston,USA,7309.6
Bulgaria,New York/New Jersey,USA,7581.9
Bulgaria,Philadelphia,USA,7717.7
Bulgaria,Houston,USA,9823.6
Bulgaria,Miami,USA,9100.7
Burkina Faso,Mexico City,Mexico,10334.8
Burkina Faso,Guadalajara,Mexico,10730.3
Burkina Faso,Monterrey,Mexico,10265.8
Burkina Faso,Atlanta,USA,8595.1
Burkina Faso,Kansas City,USA,9395.5
Burkina Faso,Toronto,Canada,8091.8
Burkina Faso,Dallas,USA,9776.3
Burkina Faso,Vancouver,Canada,11104.9
Burkina Faso,Seattle,USA,11154.9
Burkina Faso,Los Angeles,USA,11589.4
Burkina Faso,San Francisco Bay Area,USA,11702.8
Burkina Faso,Boston,USA,7422.5
Burkina Faso,New York/New Jersey,USA,7648.9
Burkina Faso,Philadelphia,USA,7739.2
Burkina Faso,Houston,USA,9697.0
Burkina Faso,Miami,USA,8293.5
Burundi,Mexico City,Mexico,14156.7
Burundi,Guadalajara,Mexico,14563.6
Burundi,Monterrey,Mexico,14100.9
Burundi,Atlanta,USA,12403.3
Burundi,Kansas City,USA,13117.5
Burundi,Toronto,Canada,11771.5
Burundi,Dallas,USA,13572.7
Burundi,Vancouver,Canada,14286.6
Burundi,Seattle,USA,14401.3
Burundi,Los Angeles,USA,15248.1
Burundi,San Francisco Bay Area,USA,15236.3
Burundi,Boston,USA,11135.9
Burundi,New York/New Jersey,USA,11382.5
Burundi,Philadelphia,USA,11486.1
Burundi,Houston,USA,13520.4
Burundi,Miami,USA,12129.6
Cambodia,Mexico City,Mexico,15687.1
Cambodia,Guadalajara,Mexico,15274.0
Cambodia,Monterrey,Mexico,15059.2
Cambodia,Atlanta,USA,14880.4
Cambodia,Kansas City,USA,14038.9
Cambodia,Toronto,Canada,13861.9
Cambodia,Dallas,USA,14562.0
Cambodia,Vancouver,Canada,11786.1
Cambodia,Seattle,USA,11952.0
Cambodia,Los Angeles,USA,13196.6
Cambodia,San Francisco Bay Area,USA,12700.1
Cambodia,Boston,USA,14036.3
Cambodia,New York/New Jersey,USA,14190.2
Cambodia,Philadelphia,USA,14292.6
Cambodia,Houston,USA,14937.5
Cambodia,Miami,USA,15805.9
Cameroon,Mexico City,Mexico,12016.0
Cameroon,Guadalajara,Mexico,12424.7
Cameroon,Monterrey,Mexico,11976.8
Cameroon,Atlanta,USA,10313.8
Cameroon,Kansas City,USA,11103.0
Cameroon,Toronto,Canada,9786.1
Cameroon,Dallas,USA,11494.8
Cameroon,Vancouver,Canada,12672.3
Cameroon,Seattle,USA,12743.1
Cameroon,Los Angeles,USA,13289.9
Cameroon,San Francisco Bay Area,USA,13376.3
Cameroon,Boston,USA,9124.0
Cameroon,New York/New Jersey,USA,9355.8
Cameroon,Philadelphia,USA,9449.2
Cameroon,Houston,USA,11414.0
Cameroon,Miami,USA,9994.6
Canada,Mexico City,Mexico,3616.2
Canada,Guadalajara,Mexico,3739.5
Canada,Monterrey,Mexico,3099.0
Canada,Atlanta,USA,1493.7
Canada,Kansas City,USA,1695.7
Canada,Toronto,Canada,355.4
Canada,Dallas,USA,2310.4
Canada,Vancouver,Canada,3538.6
Canada,Seattle,USA,3523.2
Canada,Los Angeles,USA,3813.9
Canada,San Francisco Bay Area,USA,3903.8
Canada,Boston,USA,513.2
Canada,New York/New Jersey,USA,528.5
Canada,Philadelphia,USA,614.9
Canada,Houston,USA,2452.8
Canada,Miami,USA,2201.3
Cape Verde,Mexico City,Mexico,7990.9
Cape Verde,Guadalajara,Mexico,8406.7
Cape Verde,Monterrey,Mexico,7990.4
Cape Verde,Atlanta,USA,6419.4
Cape Verde,Kansas City,USA,7338.2
Cape Verde,Toronto,Canada,6146.0
Cape Verde,Dallas,USA,7600.1
Cape Verde,Vancouver,Canada,9433.5
Cape Verde,Seattle,USA,9432.2
Cape Verde,Los Angeles,USA,9520.8
Cape Verde,San Francisco Bay Area,USA,9730.5
Cape Verde,Boston,USA,5460.2
Cape Verde,New York/New Jersey,USA,5642.1
Cape Verde,Philadelphia,USA,5706.1
Cape Verde,Houston,USA,7466.9
Cape Verde,Miami,USA,5992.5
Cayman Islands,Mexico City,Mexico,1864.8
Cayman Islands,Guadalajara,Mexico,2311.6
Cayman Islands,Monterrey,Mexico,2062.1
Cayman Islands,Atlanta,USA,1636.5
Cayman Islands,Kansas City,USA,2533.0
Cayman Islands,Toronto,Canada,2713.4
Cayman Islands,Dallas,USA,2164.6
Cayman Islands,Vancouver,Canada,4979.2
Cayman Islands,Seattle,USA,4844.3
Cayman Islands,Los Angeles,USA,3991.8
Cayman Islands,San Francisco Bay Area,USA,4408.7
Cayman Islands,Boston,USA,2708.9
Cayman Islands,New York/New Jersey,USA,2492.3
Cayman Islands,Philadelphia,USA,2367.8
Cayman Islands,Houston,USA,1828.6
Cayman Islands,Miami,USA,750.9
Central African Republic,Mexico City,Mexico,12715.7
Central African Republic,Guadalajara,Mexico,13108.4
Central African Republic,Monterrey,Mexico,12629.5
Central African Republic,Atlanta,USA,10925.6
Central African Republic,Kansas City,USA,11651.2
Central African Republic,Toronto,Canada,10311.1
Central African Republic,Dallas,USA,12095.4
Central African Republic,Vancouver,Canada,13000.2
Central African Republic,Seattle,USA,13092.9
Central African Republic,Los Angeles,USA,13805.0
Central African Republic,San Francisco Bay Area,USA,13834.5
Central African Republic,Boston,USA,9667.8
Central African Republic,New York/New Jersey,USA,9911.5
Central African Republic,Philadelphia,USA,10013.2
Central African Republic,Houston,USA,12043.8
Central African Republic,Miami,USA,10669.9
Chad,Mexico City,Mexico,12008.1
Chad,Guadalajara,Mexico,12370.9
Chad,Monterrey,Mexico,11853.0
Chad,Atlanta,USA,10115.0
Chad,Kansas City,USA,10784.8
Chad,Toronto,Canada,9435.6
Chad,Dallas,USA,11267.4
Chad,Vancouver,Canada,12057.6
Chad,Seattle,USA,12152.2
Chad,Los Angeles,USA,12909.8
