date,home_team,away_team,home_score,away_score,tournament,neutral,k_factor,elo_home_pre,elo_away_pre
1908-03-14,Northern Ireland,Scotland,0,5,British Home Championship,FALSE,30,1283.9463,1611.0606
1908-03-16,Wales,England,1,7,British Home Championship,FALSE,30,1395.0865,1715.5021
1908-03-29,Belgium,Netherlands,1,4,Friendly,FALSE,20,1514.0376,1512.5171
1908-04-02,Guernsey,Alderney,3,0,Muratti Vase,TRUE,30,1581.4071,1454.0445
1908-04-04,Scotland,England,1,1,British Home Championship,FALSE,30,1623.8362,1729.4927
1908-04-05,Hungary,Czechoslovakia,5,2,Friendly,FALSE,20,1508.2484,1492.2766
1908-04-05,Switzerland,Germany,5,3,Friendly,FALSE,20,1479.7861,1500.0000
1908-04-09,Guernsey,Jersey,0,4,Muratti Vase,FALSE,30,1598.4435,1464.5484
1908-04-11,Wales,Northern Ireland,0,1,British Home Championship,FALSE,30,1381.0959,1271.1707
1908-04-12,France,Belgium,1,2,Friendly,FALSE,20,1493.6592,1491.5648
1908-04-26,Netherlands,Belgium,3,1,Friendly,FALSE,20,1534.9899,1504.4216
1908-05-03,Austria,Hungary,4,0,Friendly,FALSE,20,1499.4750,1520.1147
1908-05-10,Netherlands,France,4,1,Friendly,FALSE,20,1544.6040,1480.8024
1908-06-06,Austria,England,1,6,Friendly,FALSE,20,1514.0151,1729.2485
1908-06-07,Austria,Germany,3,2,Friendly,FALSE,20,1500.4155,1488.3853
1908-06-08,Austria,England,1,11,Friendly,FALSE,20,1507.2983,1742.8481
1908-06-10,Hungary,England,0,7,Friendly,FALSE,20,1505.5746,1759.3466
1908-06-13,Czechoslovakia,England,0,4,Friendly,FALSE,20,1480.4103,1772.4913
1908-07-12,Sweden,Norway,11,3,Friendly,FALSE,20,1500.0000,1500.0000
1908-08-15,Uruguay,Argentina,2,2,Copa Lipton,FALSE,30,1454.9941,1531.9986
1908-09-13,Argentina,Uruguay,2,1,Copa Newton,FALSE,30,1532.9900,1454.0028
1908-10-04,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,FALSE,30,1540.8806,1446.1122
1908-10-22,France,Denmark,1,17,Olympic Games,TRUE,50,1470.9915,1500.0000
1908-10-23,Netherlands,Sweden,2,0,Olympic Games,TRUE,50,1554.4149,1517.0969
1908-10-25,Netherlands,Sweden,5,3,Friendly,FALSE,20,1587.9024,1483.6094
1908-10-26,Belgium,Sweden,2,1,Friendly,FALSE,20,1494.8075,1476.5362
1908-11-01,Hungary,Austria,5,3,Friendly,FALSE,20,1492.4298,1490.7997
1909-02-13,England,Northern Ireland,4,0,British Home Championship,FALSE,30,1781.8166,1294.2714
