date,event_id,team_code,team_name,opponent_code,opponent_name,goals,opponent_goals,neutral,true_home_advantage,elo_pre,elo_post
2026-06-30,760490,NOR,Norway,CIV,Ivory Coast,2,1,True,False,1991.4836,2010.8843
2026-06-30,760491,ECU,Ecuador,MEX,Mexico,0,2,False,False,1993.8338,1964.5589
2026-06-30,760491,MEX,Mexico,ECU,Ecuador,2,0,False,True,2020.5833,2049.8582
2026-06-30,760492,FRA,France,SWE,Sweden,3,0,True,False,2190.6197,2201.3279
2026-06-30,760492,SWE,Sweden,FRA,France,0,3,True,False,1812.7168,1802.0086
2026-07-01,760493,BEL,Belgium,SEN,Senegal,3,2,True,False,1953.8311,1979.6955
2026-07-01,760493,SEN,Senegal,BEL,Belgium,2,3,True,False,1905.6294,1879.765
2026-07-01,760494,BIH,Bosnia and Herzegovina,USA,United States,0,2,False,False,1690.6892,1676.3343
2026-07-01,760494,USA,United States,BIH,Bosnia and Herzegovina,2,0,False,True,1879.4016,1893.7565
2026-07-01,760495,CDR,DR Congo,ENG,England,1,2,True,False,1819.9186,1810.3396
2026-07-01,760495,ENG,England,CDR,DR Congo,2,1,True,False,2108.4359,2118.0149
2026-07-02,760496,CRO,Croatia,POR,Portugal,1,2,True,False,1973.1133,1950.7176
2026-07-02,760496,POR,Portugal,CRO,Croatia,2,1,True,False,2063.1424,2085.5381
2026-07-02,760497,AUT,Austria,ESP,Spain,0,3,True,False,1899.7231,1885.0011
2026-07-02,760497,ESP,Spain,AUT,Austria,3,0,True,False,2214.7695,2229.4915
2026-07-02,760498,ALG,Algeria,SUI,Switzerland,0,2,True,False,1880.3071,1848.0337
2026-07-02,760498,SUI,Switzerland,ALG,Algeria,2,0,True,False,1981.3199,2013.5933
2026-07-03,760499,AUS,Australia,EGY,Egypt,1,1,True,False,1912.1815,1907.593
2026-07-03,760499,EGY,Egypt,AUS,Australia,1,1,True,False,1858.6205,1863.2091
2026-07-03,760500,ARG,Argentina,CPV,Cape Verde,3,2,True,False,2223.4089,2226.2437
2026-07-03,760500,CPV,Cape Verde,ARG,Argentina,2,3,True,False,1701.5668,1698.732
2026-07-03,760501,COL,Colombia,GHA,Ghana,1,0,True,False,2087.9688,2093.4259
2026-07-03,760501,GHA,Ghana,COL,Colombia,0,1,True,False,1688.059,1682.6019
2026-07-04,760502,CAN,Canada,MAR,Morocco,0,3,False,True,1869.3252,1825.2966
2026-07-04,760502,MAR,Morocco,CAN,Canada,3,0,False,False,2025.8816,2069.9103
2026-07-04,760503,FRA,France,PAR,Paraguay,1,0,True,False,2201.3279,2210.7802
2026-07-04,760503,PAR,Paraguay,FRA,France,0,1,True,False,1910.0622,1900.6099
2026-07-05,760504,BRA,Brazil,NOR,Norway,1,2,True,False,2117.4132,2078.4926
2026-07-05,760504,NOR,Norway,BRA,Brazil,2,1,True,False,2010.8843,2049.8049
2026-07-05,760505,ENG,England,MEX,Mexico,3,2,False,False,2118.0149,2150.7568
2026-07-05,760505,MEX,Mexico,ENG,England,2,3,False,True,2049.8582,2017.1163
2026-07-06,760506,ESP,Spain,POR,Portugal,1,0,True,False,2229.4915,2247.7271
2026-07-06,760506,POR,Portugal,ESP,Spain,0,1,True,False,2085.5381,2067.3024
2026-07-06,760507,BEL,Belgium,USA,United States,4,1,False,False,1979.6955,2034.3191
2026-07-06,760507,USA,United States,BEL,Belgium,1,4,False,True,1893.7565,1839.1329
2026-07-07,760508,COL,Colombia,SUI,Switzerland,0,0,True,False,2093.4259,2086.6514
2026-07-07,760508,SUI,Switzerland,COL,Colombia,0,0,True,False,2013.5933,2020.3678
2026-07-07,760509,ARG,Argentina,EGY,Egypt,3,2,True,False,2226.2437,2232.8492
2026-07-07,760509,EGY,Egypt,ARG,Argentina,2,3,True,False,1863.2091,1856.6035
2026-07-09,760510,FRA,France,MAR,Morocco,2,0,True,False,2210.7802,2238.4728
2026-07-09,760510,MAR,Morocco,FRA,France,0,2,True,False,2069.9103,2042.2176
2026-07-10,760511,BEL,Belgium,ESP,Spain,1,2,True,False,2034.3191,2020.7322
2026-07-10,760511,ESP,Spain,BEL,Belgium,2,1,True,False,2247.7271,2261.314
2026-07-11,760512,ENG,England,NOR,Norway,2,1,True,False,2150.7568,2172.2772
2026-07-11,760512,NOR,Norway,ENG,England,1,2,True,False,2049.8049,2028.2845
2026-07-11,760513,ARG,Argentina,SUI,Switzerland,3,1,True,False,2232.8492,2253.3138
2026-07-11,760513,SUI,Switzerland,ARG,Argentina,1,3,True,False,2020.3678,1999.9032
