event_id,date,match_slug,team_code,team_espn_abbr,home_away,goals,opponent_goals,fouls,yellow_cards,red_cards,offsides,corners,saves,possession_pct,total_shots,shots_on_target,blocked_shots,passes,pass_pct,interceptions,effective_tackles,clearances,venue,venue_city
760459,2026-06-23,COL-CDR,COL,COL,home,1,0,12,2,0,7,5,1,63.5,20,9,6,541,0.9,10,6,18,Estadio Akron,Guadalajara
760459,2026-06-23,COL-CDR,CDR,COD,away,0,1,16,1,0,0,4,8,36.5,7,1,2,299,0.8,7,10,19,Estadio Akron,Guadalajara
760460,2026-06-23,PAN-CRO,PAN,PAN,home,0,1,19,1,0,1,7,1,42.0,8,1,2,352,0.8,5,5,29,BMO Field,Toronto
760460,2026-06-23,PAN-CRO,CRO,CRO,away,1,0,12,1,0,2,2,1,58.0,6,2,1,512,0.8,5,7,38,BMO Field,Toronto
760461,2026-06-23,POR-UZB,POR,POR,home,5,0,14,1,0,2,3,2,65.9,17,9,3,624,0.9,6,10,16,NRG Stadium,"Houston, Texas"
760461,2026-06-23,POR-UZB,UZB,UZB,away,0,5,15,1,0,2,2,4,34.1,7,2,3,327,0.8,14,13,30,NRG Stadium,"Houston, Texas"
760462,2026-06-24,BIH-QAT,BIH,BIH,home,3,1,9,1,0,1,5,2,54.4,14,5,5,515,0.9,4,9,22,Lumen Field,"Seattle, Washington"
760462,2026-06-24,BIH-QAT,QAT,QAT,away,1,3,14,1,0,3,5,3,45.6,9,3,0,434,0.9,4,5,24,Lumen Field,"Seattle, Washington"
760463,2026-06-24,SUI-CAN,SUI,SUI,home,2,1,19,1,0,1,2,6,55.3,6,4,1,443,0.8,4,7,44,BC Place,Vancouver
760463,2026-06-24,SUI-CAN,CAN,CAN,away,1,2,13,2,0,3,7,2,44.7,13,7,3,339,0.8,13,5,19,BC Place,Vancouver
760464,2026-06-24,MAR-HAI,MAR,MAR,home,4,2,10,0,0,5,9,1,69.1,22,11,5,541,0.9,8,8,14,Mercedes-Benz Stadium,"Atlanta, Georgia"
760464,2026-06-24,MAR-HAI,HAI,HAI,away,2,4,18,3,0,0,1,8,30.9,9,2,3,247,0.8,16,12,26,Mercedes-Benz Stadium,"Atlanta, Georgia"
760465,2026-06-24,SCO-BRA,SCO,SCO,home,0,3,10,1,0,0,7,5,46.0,14,5,3,500,0.9,2,8,13,Hard Rock Stadium,"Miami Gardens, Florida"
760465,2026-06-24,SCO-BRA,BRA,BRA,away,3,0,11,2,0,1,7,5,54.0,21,9,5,605,0.9,13,6,24,Hard Rock Stadium,"Miami Gardens, Florida"
760466,2026-06-24,RSA-KOR,RSA,RSA,home,1,0,7,1,0,3,4,2,31.6,13,4,4,340,0.8,15,7,40,Estadio BBVA,Guadalupe
760466,2026-06-24,RSA-KOR,KOR,KOR,away,0,1,9,1,0,0,6,3,68.4,8,3,1,719,0.9,4,9,16,Estadio BBVA,Guadalupe
760467,2026-06-24,CZE-MEX,CZE,CZE,home,0,3,9,0,0,1,5,2,51.9,13,1,4,398,0.8,5,7,20,Estadio Banorte,Mexico City
760467,2026-06-24,CZE-MEX,MEX,MEX,away,3,0,13,1,0,0,1,1,48.1,11,5,2,386,0.9,7,8,30,Estadio Banorte,Mexico City
760468,2026-06-25,ECU-GER,ECU,ECU,home,2,1,15,3,0,1,3,2,38.9,7,3,2,378,0.8,12,16,30,MetLife Stadium,"East Rutherford, New Jersey"
760468,2026-06-25,ECU-GER,GER,GER,away,1,2,10,1,0,0,2,1,61.1,11,3,5,592,0.9,4,13,15,MetLife Stadium,"East Rutherford, New Jersey"
760469,2026-06-25,PAR-AUS,PAR,PAR,home,0,0,9,1,0,0,1,5,44.0,7,2,1,426,0.8,8,17,24,Levi's Stadium,"Santa Clara, California"
760469,2026-06-25,PAR-AUS,AUS,AUS,away,0,0,6,1,0,0,3,2,56.0,12,5,3,537,0.8,7,12,10,Levi's Stadium,"Santa Clara, California"
760470,2026-06-25,TUR-USA,TUR,TUR,home,3,2,13,0,0,2,2,5,47.4,9,3,2,434,0.8,9,20,24,SoFi Stadium,"Inglewood, California"
760470,2026-06-25,TUR-USA,USA,USA,away,2,3,13,1,0,5,9,1,52.6,18,7,5,471,0.8,9,9,27,SoFi Stadium,"Inglewood, California"
760471,2026-06-25,JPN-SWE,JPN,JPN,home,1,1,20,1,0,3,2,4,52.3,8,3,2,445,0.8,4,7,40,AT&T Stadium,"Arlington, Texas"
760471,2026-06-25,JPN-SWE,SWE,SWE,away,1,1,11,2,0,2,8,2,47.7,11,5,3,395,0.8,5,3,21,AT&T Stadium,"Arlington, Texas"
760472,2026-06-25,TUN-NED,TUN,TUN,home,1,3,11,0,0,2,4,4,28.6,10,4,1,258,0.8,8,9,35,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri"
760472,2026-06-25,TUN-NED,NED,NED,away,3,1,10,0,0,1,6,3,71.4,20,7,5,647,0.9,10,5,17,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri"
