"match_id","competition_name","season_name","competition_stage","match_date","kick_off","referee_name","stadium_name","team_id","team_name","opponent_id","opponent_name","is_home","goals","opponent_goals","result","total_shots","shots_on_target","blocked_shots","xg_total","fouls_committed","fouls_won","yellow_cards","red_cards","corners","offsides","passes","passes_completed","pass_pct","clearances","interceptions"
"7576","FIFA World Cup 2018","2018","Group Stage","2018-06-15","18:00:00.000","Gianluca Rocchi","Olimpiyskiy Stadion Fisht",772,"Spain",780,"Portugal",FALSE,3,3,"D",12,5,2,1.6609,11,12,1,0,5,1,780,714,91.5,8,12
"7565","FIFA World Cup 2018","2018","Group Stage","2018-06-27","18:00:00.000","Alireza Faghani","Otkritie Bank Arena",786,"Serbia",781,"Brazil",TRUE,0,2,"L",11,1,4,0.9483,14,7,3,0,5,1,447,337,75.4,20,6
"7565","FIFA World Cup 2018","2018","Group Stage","2018-06-27","18:00:00.000","Alireza Faghani","Otkritie Bank Arena",781,"Brazil",786,"Serbia",FALSE,2,0,"W",15,7,5,1.4198,7,12,0,0,8,3,653,553,84.7,23,10
"7551","FIFA World Cup 2018","2018","Group Stage","2018-06-23","18:00:00.000","Szymon Marciniak","Olimpiyskiy Stadion Fisht",770,"Germany",790,"Sweden",TRUE,2,1,"W",18,5,8,1.3181,12,16,1,1,5,2,718,619,86.2,11,3
"7551","FIFA World Cup 2018","2018","Group Stage","2018-06-23","18:00:00.000","Szymon Marciniak","Olimpiyskiy Stadion Fisht",790,"Sweden",770,"Germany",FALSE,1,2,"L",7,6,1,0.8152,17,10,2,0,3,0,234,164,70.1,38,9
"7537","FIFA World Cup 2018","2018","Group Stage","2018-06-18","18:00:00.000","Wilmar Alexander Roldán Pérez","Volgograd Arena",777,"Tunisia",768,"England",TRUE,1,2,"L",6,1,2,0.9457,15,9,0,0,2,0,368,285,77.4,12,13
"7537","FIFA World Cup 2018","2018","Group Stage","2018-06-18","18:00:00.000","Wilmar Alexander Roldán Pérez","Volgograd Arena",768,"England",777,"Tunisia",FALSE,2,1,"W",18,7,3,2.6264,9,14,1,0,7,1,570,484,84.9,4,6
"7580","FIFA World Cup 2018","2018","Round of 16","2018-06-30","14:00:00.000","Alireza Faghani","Ak Bars Arena",771,"France",779,"Argentina",TRUE,4,3,"W",9,4,1,1.638,23,14,2,0,0,0,350,283,80.9,16,8
"7580","FIFA World Cup 2018","2018","Round of 16","2018-06-30","14:00:00.000","Alireza Faghani","Ak Bars Arena",779,"Argentina",771,"France",FALSE,3,4,"L",12,4,6,1.4466,14,23,4,0,4,0,535,448,83.7,5,7
"7581","FIFA World Cup 2018","2018","Round of 16","2018-07-01","18:00:00.000","Néstor Fabián Pitana","Stadion Nizhny Novgorod (Nizhniy Novgorod)",785,"Croatia",776,"Denmark",TRUE,1,1,"D",21,6,7,2.1702,7,19,0,0,5,1,665,517,77.7,30,9
"7581","FIFA World Cup 2018","2018","Round of 16","2018-07-01","18:00:00.000","Néstor Fabián Pitana","Stadion Nizhny Novgorod (Nizhniy Novgorod)",776,"Denmark",785,"Croatia",FALSE,1,1,"D",14,3,3,0.6965,19,6,1,0,4,0,581,445,76.6,18,13
"7549","FIFA World Cup 2018","2018","Group Stage","2018-06-22","15:00:00.000","Matthew Conger","Volgograd Arena",775,"Nigeria",793,"Iceland",TRUE,2,0,"W",17,4,6,1.3122,10,12,1,0,6,0,529,413,78.1,22,8
"7549","FIFA World Cup 2018","2018","Group Stage","2018-06-22","15:00:00.000","Matthew Conger","Volgograd Arena",793,"Iceland",775,"Nigeria",FALSE,0,2,"L",10,3,1,1.5522,12,10,0,0,5,0,339,224,66.1,20,7
"7529","FIFA World Cup 2018","2018","Group Stage","2018-06-16","19:00:00.000","Sandro Ricci","Rostec Arena",785,"Croatia",775,"Nigeria",TRUE,2,0,"W",11,2,3,1.6945,21,12,2,0,6,0,503,389,77.3,22,14
"7529","FIFA World Cup 2018","2018","Group Stage","2018-06-16","19:00:00.000","Sandro Ricci","Rostec Arena",775,"Nigeria",785,"Croatia",FALSE,0,2,"L",13,2,6,0.7623,15,20,1,0,4,0,425,319,75.1,16,6
"7562","FIFA World Cup 2018","2018","Group Stage","2018-06-26","14:00:00.000","Sergey Karasev","Olimpiyskiy Stadion Fisht",792,"Australia",784,"Peru",TRUE,0,2,"L",16,2,4,1.6293,12,12,3,0,8,0,575,489,85,11,5
"7562","FIFA World Cup 2018","2018","Group Stage","2018-06-26","14:00:00.000","Sergey Karasev","Olimpiyskiy Stadion Fisht",784,"Peru",792,"Australia",FALSE,2,0,"W",4,3,0,0.3364,12,12,2,0,3,0,431,341,79.1,22,6
"7571","FIFA World Cup 2018","2018","Group Stage","2018-06-28","14:00:00.000","Milorad Mažić","Solidarnost Arena",787,"Senegal",769,"Colombia",TRUE,0,1,"L",7,3,0,0.3609,15,15,1,0,1,1,328,234,71.3,16,16
"7571","FIFA World Cup 2018","2018","Group Stage","2018-06-28","14:00:00.000","Milorad Mažić","Solidarnost Arena",769,"Colombia",787,"Senegal",FALSE,1,0,"W",4,2,1,0.2849,16,15,1,0,3,0,466,358,76.8,15,5
"7568","FIFA World Cup 2018","2018","Group Stage","2018-06-27","18:00:00.000","Clément Turpin","Stadion Nizhny Novgorod (Nizhniy Novgorod)",773,"Switzerland",795,"Costa Rica",TRUE,2,2,"D",13,3,4,1.2197,10,15,2,0,6,0,595,502,84.4,11,7
"7568","FIFA World Cup 2018","2018","Group Stage","2018-06-27","18:00:00.000","Clément Turpin","Stadion Nizhny Novgorod (Nizhniy Novgorod)",795,"Costa Rica",773,"Switzerland",FALSE,2,2,"D",14,6,2,1.5762,15,10,2,0,3,0,362,280,77.3,17,13
"7530","FIFA World Cup 2018","2018","Group Stage","2018-06-16","10:00:00.000","Andrés Cunha","Ak Bars Arena",771,"France",792,"Australia",TRUE,2,1,"W",12,4,5,1.5616,17,20,1,0,5,0,549,445,81.1,9,7
"7530","FIFA World Cup 2018","2018","Group Stage","2018-06-16","10:00:00.000","Andrés Cunha","Ak Bars Arena",792,"Australia",771,"France",FALSE,1,2,"L",5,2,1,0.98,20,15,3,0,1,0,444,342,77,19,15
"7558","FIFA World Cup 2018","2018","Group Stage","2018-06-25","14:00:00.000","Malang Diedhiou","Solidarnost Arena",783,"Uruguay",796,"Russia",TRUE,3,0,"W",16,6,5,2.4826,19,18,1,0,4,0,526,436,82.9,9,6
"7558","FIFA World Cup 2018","2018","Group Stage","2018-06-25","14:00:00.000","Malang Diedhiou","Solidarnost Arena",796,"Russia",783,"Uruguay",FALSE,0,3,"L",3,1,1,0.1802,19,19,1,1,2,0,380,290,76.3,20,7
"7583","FIFA World Cup 2018","2018","Round of 16","2018-07-02","14:00:00.000","Gianluca Rocchi","Solidarnost Arena",781,"Brazil",794,"Mexico",TRUE,2,0,"W",19,10,4,3.3204,8,19,2,0,8,0,410,330,80.5,16,9
"7583","FIFA World Cup 2018","2018","Round of 16","2018-07-02","14:00:00.000","Gianluca Rocchi","Solidarnost Arena",794,"Mexico",781,"Brazil",FALSE,0,2,"L",14,1,8,0.5828,19,8,4,0,7,2,429,353,82.3,11,4
"7547","FIFA World Cup 2018","2018","Group Stage","2018-06-21","12:00:00.000","Antonio Miguel Mateu Lahoz","Solidarnost Arena",776,"Denmark",792,"Australia",TRUE,1,1,"D",10,5,1,1.0144,7,6,2,0,3,0,478,396,82.8,18,10
"7547","FIFA World Cup 2018","2018","Group Stage","2018-06-21","12:00:00.000","Antonio Miguel Mateu Lahoz","Solidarnost Arena",792,"Australia",776,"Denmark",FALSE,1,1,"D",13,5,4,1.4122,6,6,0,0,5,0,533,442,82.9,15,4
"7535","FIFA World Cup 2018","2018","Group Stage","2018-06-17","12:00:00.000","Malang Diedhiou","Solidarnost Arena",795,"Costa Rica",786,"Serbia",TRUE,0,1,"L",10,3,4,0.596,18,13,2,0,5,1,481,376,78.2,12,9
"7535","FIFA World Cup 2018","2018","Group Stage","2018-06-17","12:00:00.000","Malang Diedhiou","Solidarnost Arena",786,"Serbia",795,"Costa Rica",FALSE,1,0,"W",12,2,3,1.9926,13,18,2,0,4,0,439,335,76.3,23,6
"8649","FIFA World Cup 2018","2018","Quarter-finals","2018-07-06","14:00:00.000","Néstor Fabián Pitana","Stadion Nizhny Novgorod (Nizhniy Novgorod)",783,"Uruguay",771,"France",TRUE,0,2,"L",10,4,1,0.6932,22,18,2,0,4,0,352,217,61.6,13,14
