date,team,side,opponent,rest_days
1957-11-24,Spain,away,Switzerland,182
1957-11-27,England,home,France,21
1957-11-27,France,away,England,31
1957-12-25,France,home,Bulgaria,28
1957-12-25,Bulgaria,away,France,52
1958-03-13,France,home,Spain,78
1958-03-13,Spain,away,France,109
1958-03-19,Germany,home,Spain,17
1958-03-19,Spain,away,Germany,6
1958-04-13,Spain,home,Portugal,25
1958-04-13,Portugal,away,Spain,112
1958-04-16,France,home,Switzerland,34
1958-04-16,Switzerland,away,France,143
1958-06-08,France,home,Paraguay,53
1958-06-08,Paraguay,away,France,32
1958-06-11,France,home,Yugoslavia,3
1958-06-11,Yugoslavia,away,France,3
1958-06-15,France,home,Scotland,4
1958-06-15,Scotland,away,France,4
1958-06-19,France,home,Northern Ireland,4
1958-06-19,Northern Ireland,away,France,2
1958-06-24,Brazil,home,France,5
1958-06-24,France,away,Brazil,5
1958-06-28,France,home,Germany,4
1958-06-28,Germany,away,France,4
1958-10-01,France,home,Greece,95
1958-10-01,Greece,away,France,325
1958-10-05,Austria,home,France,21
1958-10-05,France,away,Austria,4
1958-10-15,Spain,home,Northern Ireland,185
1958-10-15,Northern Ireland,away,Spain,11
1958-10-26,France,home,Germany,21
1958-10-26,Germany,away,France,32
1958-11-09,France,home,Italy,14
1958-11-09,Italy,away,France,231
1958-12-03,Greece,home,France,63
1958-12-03,France,away,Greece,24
1959-02-28,Italy,home,Spain,77
1959-02-28,Spain,away,Italy,136
1959-03-01,France,home,Belgium,88
1959-03-01,Belgium,away,France,98
1959-06-28,Poland,home,Spain,7
1959-06-28,Spain,away,Poland,120
1959-10-11,Bulgaria,home,France,133
1959-10-11,France,away,Bulgaria,224
1959-10-14,Spain,home,Poland,108
1959-10-14,Poland,away,Spain,45
1959-11-11,France,home,Portugal,31
1959-11-11,Portugal,away,France,136
1959-11-22,Spain,home,Austria,39
1959-11-22,Austria,away,Spain,60
1959-12-13,France,home,Austria,32
1959-12-13,Austria,away,France,21
1959-12-17,France,home,Spain,4
1959-12-17,Spain,away,France,25
1960-02-28,Belgium,home,France,147
1960-02-28,France,away,Belgium,73
1960-03-13,Spain,home,Italy,87
1960-03-13,Italy,away,Spain,67
1960-03-16,France,home,Chile,17
1960-03-16,Chile,away,France,119
1960-03-27,Austria,home,France,105
1960-03-27,France,away,Austria,11
1960-05-15,Spain,home,England,63
1960-05-15,England,away,Spain,4
1960-07-06,France,home,Yugoslavia,101
1960-07-06,Yugoslavia,away,France,45
