date,home_team,away_team,home_score,away_score,tournament,neutral,k_factor,elo_home_pre,elo_away_pre
1912-09-22,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,FALSE,30,1480.9473,1563.1695
1912-10-06,Argentina,Uruguay,3,3,Copa Newton,FALSE,30,1465.1805,1578.9364
1912-12-01,Uruguay,Argentina,1,3,Friendly,FALSE,20,1578.3428,1465.7741
1913-02-15,Northern Ireland,England,2,1,British Home Championship,FALSE,30,1268.4305,1786.5458
1913-03-17,England,Wales,4,3,British Home Championship,FALSE,30,1759.0253,1398.7855
1913-04-05,England,Scotland,1,0,British Home Championship,FALSE,30,1761.0062,1637.5797
1913-06-15,Argentina,Uruguay,1,1,Friendly,FALSE,20,1488.9552,1555.1617
1913-07-09,Argentina,Uruguay,2,1,Friendly,FALSE,20,1487.9856,1556.1313
1913-08-15,Argentina,Uruguay,4,0,Copa Lipton,FALSE,30,1497.0713,1547.0456
1913-08-31,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,FALSE,30,1521.1745,1522.9424
1913-09-21,Chile,Argentina,0,2,Friendly,FALSE,20,1442.8759,1537.4772
1913-10-05,Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo,FALSE,30,1506.6397,1552.7103
1913-10-26,Uruguay,Argentina,1,0,Copa Newton,FALSE,30,1519.3299,1540.0201
1914-02-14,England,Northern Ireland,0,3,British Home Championship,FALSE,30,1767.5013,1312.8127
1914-03-16,Wales,England,0,2,British Home Championship,FALSE,30,1385.3925,1717.0713
1914-04-04,Scotland,England,3,1,British Home Championship,FALSE,30,1613.1609,1726.4564
1914-08-30,Uruguay,Argentina,3,2,Copa Premio Honor Uruguayo,FALSE,30,1530.9640,1528.3859
1914-09-13,Argentina,Uruguay,2,1,Copa Premio Honor Argentino,FALSE,30,1517.6902,1541.6597
1914-09-20,Argentina,Brazil,3,0,Friendly,FALSE,20,1529.4591,1500.0000
1914-09-27,Argentina,Brazil,0,1,Copa Roca,FALSE,30,1540.7243,1488.7348
1915-07-18,Uruguay,Argentina,2,3,Copa Premio Honor Uruguayo,FALSE,30,1529.8908,1519.5512
1915-08-15,Argentina,Uruguay,2,1,Copa Lipton,FALSE,30,1539.1610,1510.2810
1915-09-12,Uruguay,Argentina,2,0,Copa Newton,FALSE,30,1500.6033,1548.8387
1916-07-06,Argentina,Chile,6,1,Copa América,FALSE,50,1529.6664,1392.9147
1916-07-10,Argentina,Brazil,1,1,Copa América,FALSE,50,1550.0441,1500.5080
1916-07-12,Argentina,Chile,1,0,Friendly,FALSE,20,1539.9028,1381.9369
1916-07-17,Argentina,Uruguay,0,0,Copa América,FALSE,50,1543.5963,1581.6978
1916-08-15,Argentina,Uruguay,3,1,Copa Newton,FALSE,30,1539.1889,1570.9669
1916-08-15,Uruguay,Argentina,1,2,Copa Lipton,FALSE,30,1552.8290,1557.3267
1916-10-01,Argentina,Uruguay,7,2,Friendly,FALSE,20,1576.3491,1533.8067
1916-10-01,Uruguay,Argentina,0,1,Copa Premio Honor Uruguayo,FALSE,30,1521.5807,1588.5751
1916-10-29,Uruguay,Argentina,3,1,Friendly,FALSE,20,1505.1600,1604.9958
1917-07-18,Uruguay,Argentina,0,2,Copa Premio Honor Uruguayo,FALSE,30,1520.1529,1590.0029
1917-08-15,Argentina,Uruguay,1,0,Copa Lipton,FALSE,30,1614.4505,1495.7053
1917-09-02,Uruguay,Argentina,1,0,Copa Newton,FALSE,30,1489.0719,1621.0838
1917-10-03,Argentina,Brazil,4,2,Copa América,TRUE,50,1604.7057,1503.9267
1917-10-06,Argentina,Chile,1,0,Copa América,TRUE,50,1631.6234,1353.4348
1917-10-14,Uruguay,Argentina,1,0,Copa América,FALSE,50,1552.9685,1640.0128
1918-07-18,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo,FALSE,30,1584.4802,1615.9446
1918-07-28,Uruguay,Argentina,3,1,Copa Premio Honor Uruguayo,FALSE,30,1581.5591,1618.8657
1918-08-15,Argentina,Uruguay,0,0,Copa Premio Honor Argentino,FALSE,30,1600.3823,1600.0426
1918-08-25,Argentina,Uruguay,2,1,Copa Premio Honor Argentino,FALSE,30,1596.1668,1604.2580
