date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,data_source
1962-06-02,Argentina,England,1,3,FIFA World Cup,Rancagua,Chile,TRUE,data/international_results/results.csv
1962-06-06,Argentina,Hungary,0,0,FIFA World Cup,Rancagua,Chile,TRUE,data/international_results/results.csv
1962-06-07,Bulgaria,England,0,0,FIFA World Cup,Rancagua,Chile,TRUE,data/international_results/results.csv
1962-06-10,Brazil,England,3,1,FIFA World Cup,Viña del Mar,Chile,TRUE,data/international_results/results.csv
1962-08-15,Argentina,Uruguay,3,1,Copa Lipton,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1962-10-03,England,France,1,1,UEFA Euro qualification,Sheffield,England,FALSE,data/international_results/results.csv
1962-10-20,Northern Ireland,England,1,3,British Home Championship,Belfast,Northern Ireland,FALSE,data/international_results/results.csv
1962-11-07,Chile,Argentina,1,1,Copa Carlos Dittborn,Santiago,Chile,FALSE,data/international_results/results.csv
1962-11-21,Argentina,Chile,1,0,Copa Carlos Dittborn,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1962-11-21,England,Wales,4,0,British Home Championship,London,England,FALSE,data/international_results/results.csv
1963-02-27,France,England,5,2,UEFA Euro qualification,Paris,France,FALSE,data/international_results/results.csv
1963-03-10,Argentina,Colombia,4,2,Copa América,Cochabamba,Bolivia,TRUE,data/international_results/results.csv
1963-03-13,Argentina,Peru,1,2,Copa América,Cochabamba,Bolivia,TRUE,data/international_results/results.csv
1963-03-20,Argentina,Ecuador,4,2,Copa América,Cochabamba,Bolivia,TRUE,data/international_results/results.csv
1963-03-24,Argentina,Brazil,3,0,Copa América,La Paz,Bolivia,TRUE,data/international_results/results.csv
1963-03-28,Bolivia,Argentina,3,2,Copa América,La Paz,Bolivia,FALSE,data/international_results/results.csv
1963-03-31,Argentina,Paraguay,1,1,Copa América,La Paz,Bolivia,TRUE,data/international_results/results.csv
1963-04-06,England,Scotland,1,2,British Home Championship,London,England,FALSE,data/international_results/results.csv
