match_id,match_date,competition,season,stage,opponent,is_home,home_team,away_team,home_score,away_score,is_starter,minutes_played,shots,shots_on_target,goals,high_stakes_tags
69210,2010-01-23,La Liga,2009/2010,Regular Season,Real Valladolid,False,Real Valladolid,Barcelona,0,3,True,92.0,3,2,1,
69220,2010-01-30,La Liga,2009/2010,Regular Season,Sporting Gijón,False,Sporting Gijón,Barcelona,0,1,True,93.4,4,0,0,
69240,2010-02-06,La Liga,2009/2010,Regular Season,Getafe,True,Barcelona,Getafe,2,1,True,94.3,7,4,1,
69237,2010-02-14,La Liga,2009/2010,Regular Season,Atlético Madrid,False,Atlético Madrid,Barcelona,2,1,True,93.2,6,3,0,
69233,2010-02-20,La Liga,2009/2010,Regular Season,Racing Santander,True,Barcelona,Racing Santander,4,0,True,91.8,3,2,0,
69238,2010-02-27,La Liga,2009/2010,Regular Season,Málaga,True,Barcelona,Málaga,2,1,True,93.1,9,3,1,
69226,2010-03-06,La Liga,2009/2010,Regular Season,Almería,False,Almería,Barcelona,2,2,True,94.5,11,5,2,
69224,2010-03-14,La Liga,2009/2010,Regular Season,Valencia,True,Barcelona,Valencia,3,0,True,88.2,8,6,3,
69227,2010-03-21,La Liga,2009/2010,Regular Season,Real Zaragoza,False,Real Zaragoza,Barcelona,2,4,True,92.2,7,4,3,
69257,2010-03-24,La Liga,2009/2010,Regular Season,Osasuna,True,Barcelona,Osasuna,2,0,True,93.3,3,0,0,
69298,2010-03-27,La Liga,2009/2010,Regular Season,Mallorca,False,Mallorca,Barcelona,0,1,False,43.9,2,1,0,
69247,2010-04-03,La Liga,2009/2010,Regular Season,Athletic Club,True,Barcelona,Athletic Club,4,1,True,90.6,6,2,1,
69259,2010-04-10,La Liga,2009/2010,Regular Season,Real Madrid,False,Real Madrid,Barcelona,0,2,True,94.1,3,3,1,El_Clasico
69221,2010-04-14,La Liga,2009/2010,Regular Season,RC Deportivo La Coruña,True,Barcelona,RC Deportivo La Coruña,3,0,True,91.8,6,2,0,
69213,2010-04-17,La Liga,2009/2010,Regular Season,Espanyol,False,Espanyol,Barcelona,0,0,True,93.0,1,0,0,
69214,2010-04-24,La Liga,2009/2010,Regular Season,Xerez,True,Barcelona,Xerez,3,1,False,41.5,2,2,0,
69244,2010-05-01,La Liga,2009/2010,Regular Season,Villarreal,False,Villarreal,Barcelona,1,4,True,89.5,5,3,2,
69241,2010-05-04,La Liga,2009/2010,Regular Season,Tenerife,True,Barcelona,Tenerife,4,1,True,92.8,4,2,2,
69239,2010-05-08,La Liga,2009/2010,Regular Season,Sevilla,False,Sevilla,Barcelona,2,3,True,93.4,6,2,1,
69242,2010-05-16,La Liga,2009/2010,Regular Season,Real Valladolid,True,Barcelona,Real Valladolid,4,0,True,90.5,5,4,2,
69286,2010-08-29,La Liga,2010/2011,Regular Season,Racing Santander,False,Racing Santander,Barcelona,0,3,True,92.2,4,2,1,
69287,2010-09-11,La Liga,2010/2011,Regular Season,Hércules,True,Barcelona,Hércules,0,2,True,94.1,3,3,0,
69269,2010-09-19,La Liga,2010/2011,Regular Season,Atlético Madrid,False,Atlético Madrid,Barcelona,1,2,True,94.5,4,2,1,
69236,2010-10-03,La Liga,2010/2011,Regular Season,Mallorca,True,Barcelona,Mallorca,1,1,True,94.0,8,2,1,
69260,2010-10-16,La Liga,2010/2011,Regular Season,Valencia,True,Barcelona,Valencia,2,1,True,94.7,2,1,0,
69263,2010-10-23,La Liga,2010/2011,Regular Season,Real Zaragoza,False,Real Zaragoza,Barcelona,0,2,True,93.1,6,5,2,
69289,2010-10-30,La Liga,2010/2011,Regular Season,Sevilla,True,Barcelona,Sevilla,5,0,True,90.5,4,2,2,
69270,2010-11-07,La Liga,2010/2011,Regular Season,Getafe,False,Getafe,Barcelona,1,3,True,93.0,5,3,1,
69308,2010-11-13,La Liga,2010/2011,Regular Season,Villarreal,True,Barcelona,Villarreal,3,1,True,93.2,6,3,2,
69306,2010-11-20,La Liga,2010/2011,Regular Season,Almería,False,Almería,Barcelona,0,8,True,89.9,5,4,3,
