match_id,competition,date,stage,stage_bucket,is_sf_or_final,team_a,team_b,n_goals_regulation,n_cards_regulation,q5_goal_each_half,q7_stoppage_goal,q8_both_carded,q10_card_before_goal,has_goal,has_card
3939978,CopaAmerica2024,2024-06-25,Group Stage,group,False,Peru,Canada,1,2,False,False,True,True,True,True
3939976,CopaAmerica2024,2024-06-25,Group Stage,group,False,Brazil,Costa Rica,0,3,False,False,True,True,False,True
3938644,Euro2024,2024-06-26,Group Stage,group,False,Georgia,Portugal,2,4,True,False,True,False,True,True
3938645,Euro2024,2024-06-26,Group Stage,group,False,Ukraine,Belgium,0,2,False,False,True,True,False,True
3930184,Euro2024,2024-06-26,Group Stage,group,False,Czech Republic,Turkey,3,19,False,True,True,True,True,True
3930183,Euro2024,2024-06-26,Group Stage,group,False,Slovakia,Romania,2,4,False,False,True,False,True,True
3939980,CopaAmerica2024,2024-06-26,Group Stage,group,False,Ecuador,Jamaica,4,4,True,True,False,False,True,True
3939977,CopaAmerica2024,2024-06-26,Group Stage,group,False,Chile,Argentina,1,2,False,False,False,True,True,True
3939979,CopaAmerica2024,2024-06-27,Group Stage,group,False,Venezuela,Mexico,1,4,False,False,True,True,True,True
3939981,CopaAmerica2024,2024-06-27,Group Stage,group,False,Panama,United States,3,7,True,False,True,True,True,True
3939982,CopaAmerica2024,2024-06-28,Group Stage,group,False,Uruguay,Bolivia,5,1,True,False,False,False,True,True
3939984,CopaAmerica2024,2024-06-28,Group Stage,group,False,Colombia,Costa Rica,3,3,True,False,True,True,True,True
3940983,Euro2024,2024-06-29,Round of 16,knockout_core,False,Germany,Denmark,2,2,False,False,False,False,True,True
3940878,Euro2024,2024-06-29,Round of 16,knockout_core,False,Switzerland,Italy,2,3,True,False,False,True,True,True
3939983,CopaAmerica2024,2024-06-29,Group Stage,group,False,Paraguay,Brazil,5,6,True,True,True,False,True,True
3941018,Euro2024,2024-06-30,Round of 16,knockout_core,False,Spain,Georgia,5,2,True,False,True,False,True,True
3941017,Euro2024,2024-06-30,Round of 16,knockout_core,False,England,Slovakia,2,6,True,True,True,True,True,True
3939986,CopaAmerica2024,2024-06-30,Group Stage,group,False,Argentina,Peru,2,6,False,False,True,True,True,True
3939985,CopaAmerica2024,2024-06-30,Group Stage,group,False,Canada,Chile,0,7,False,False,True,True,False,True
3941019,Euro2024,2024-07-01,Round of 16,knockout_core,False,France,Belgium,1,5,False,False,True,True,True,True
3941020,Euro2024,2024-07-01,Round of 16,knockout_core,False,Portugal,Slovenia,0,2,False,False,False,True,False,True
3939987,CopaAmerica2024,2024-07-01,Group Stage,group,False,Jamaica,Venezuela,3,2,False,False,True,True,True,True
3939988,CopaAmerica2024,2024-07-01,Group Stage,group,False,Mexico,Ecuador,0,7,False,False,True,True,False,True
3941022,Euro2024,2024-07-02,Round of 16,knockout_core,False,Austria,Turkey,3,4,True,False,True,False,True,True
3941021,Euro2024,2024-07-02,Round of 16,knockout_core,False,Romania,Netherlands,3,4,True,True,True,False,True,True
3939990,CopaAmerica2024,2024-07-02,Group Stage,group,False,United States,Uruguay,1,3,False,False,True,True,True,True
3939989,CopaAmerica2024,2024-07-02,Group Stage,group,False,Bolivia,Panama,4,3,True,True,True,True,True,True
3939991,CopaAmerica2024,2024-07-03,Group Stage,group,False,Brazil,Colombia,2,5,False,True,True,True,True,True
3939992,CopaAmerica2024,2024-07-03,Group Stage,group,False,Costa Rica,Paraguay,3,6,True,False,True,False,True,True
3942349,Euro2024,2024-07-05,Quarter-finals,knockout_core,False,Portugal,France,0,2,False,False,True,True,False,True
3942226,Euro2024,2024-07-05,Quarter-finals,knockout_core,False,Spain,Germany,2,9,False,False,True,True,True,True
3942228,CopaAmerica2024,2024-07-05,Quarter-finals,knockout_core,False,Argentina,Ecuador,2,4,True,True,True,True,True,True
3942227,Euro2024,2024-07-06,Quarter-finals,knockout_core,False,England,Switzerland,2,3,False,False,True,True,True,True
3942382,Euro2024,2024-07-06,Quarter-finals,knockout_core,False,Netherlands,Turkey,3,6,True,False,True,True,True,True
3942416,CopaAmerica2024,2024-07-06,Quarter-finals,knockout_core,False,Colombia,Panama,5,4,True,True,True,False,True,True
3942229,CopaAmerica2024,2024-07-06,Quarter-finals,knockout_core,False,Venezuela,Canada,2,3,True,False,True,False,True,True
3942415,CopaAmerica2024,2024-07-07,Quarter-finals,knockout_core,False,Uruguay,Brazil,0,5,False,False,True,True,False,True
3942752,Euro2024,2024-07-09,Semi-finals,knockout_core,True,Spain,France,3,4,False,False,True,False,True,True
3942819,Euro2024,2024-07-10,Semi-finals,knockout_core,True,Netherlands,England,3,6,True,True,True,False,True,True
3942785,CopaAmerica2024,2024-07-10,Semi-finals,knockout_core,True,Argentina,Canada,2,4,True,False,True,False,True,True
3942852,CopaAmerica2024,2024-07-11,Semi-finals,knockout_core,True,Uruguay,Colombia,1,8,False,False,True,True,True,True
3943043,Euro2024,2024-07-14,Final,knockout_core,True,Spain,England,3,4,False,False,True,True,True,True
3943076,CopaAmerica2024,2024-07-14,3rd Place Final,third_place,False,Canada,Uruguay,4,5,True,True,True,True,True,True
3943077,CopaAmerica2024,2024-07-15,Final,knockout_core,True,Argentina,Colombia,0,2,False,False,True,True,False,True
