event_id,date,team_a,team_b,stage,n_cards_team_a,n_cards_team_b,n_cards_total,both_teams_carded,card_events,first_card_min,first_card_team,first_card_type,first_card_display
760464,2026-06-24,Morocco,Haiti,"2026 FIFA World Cup, Group Stage",0,3,3,False,79|Haiti|yellow-card|79';80|Haiti|yellow-card|80';90|Haiti|yellow-card|90'+3',79,Haiti,yellow-card,79'
760465,2026-06-24,Scotland,Brazil,"2026 FIFA World Cup, Group Stage",1,2,3,True,62|Brazil|yellow-card|62';82|Brazil|yellow-card|82';89|Scotland|yellow-card|89',62,Brazil,yellow-card,62'
760466,2026-06-25,South Africa,South Korea,"2026 FIFA World Cup, Group Stage",1,1,2,True,73|South Africa|yellow-card|73';79|South Korea|yellow-card|79',73,South Africa,yellow-card,73'
760467,2026-06-25,Czechia,Mexico,"2026 FIFA World Cup, Group Stage",0,1,1,False,64|Mexico|yellow-card|64',64,Mexico,yellow-card,64'
760468,2026-06-25,Ecuador,Germany,"2026 FIFA World Cup, Group Stage",3,1,4,True,43|Ecuador|yellow-card|43';44|Germany|yellow-card|44';50|Ecuador|yellow-card|50';89|Ecuador|yellow-card|89',43,Ecuador,yellow-card,43'
760469,2026-06-26,Paraguay,Australia,"2026 FIFA World Cup, Group Stage",1,1,2,True,46|Australia|yellow-card|46';77|Paraguay|yellow-card|77',46,Australia,yellow-card,46'
760470,2026-06-26,Türkiye,United States,"2026 FIFA World Cup, Group Stage",0,1,1,False,19|United States|yellow-card|19',19,United States,yellow-card,19'
760471,2026-06-25,Japan,Sweden,"2026 FIFA World Cup, Group Stage",1,2,3,True,32|Sweden|yellow-card|32';77|Japan|yellow-card|77';85|Sweden|yellow-card|85',32,Sweden,yellow-card,32'
760472,2026-06-25,Tunisia,Netherlands,"2026 FIFA World Cup, Group Stage",0,0,0,False,,,,,
760473,2026-06-25,Curaçao,Ivory Coast,"2026 FIFA World Cup, Group Stage",2,1,3,True,35|Ivory Coast|yellow-card|35';75|Curaçao|yellow-card|75';83|Curaçao|yellow-card|83',35,Ivory Coast,yellow-card,35'
