"match_id","match_date","team_name","referee_known_from_history","is_knockout","actual","lambda_baseline","lambda_hier","nll_baseline","nll_hier"
760472,"2026-06-25","Netherlands",TRUE,0,0,1.9060773480663,1.06202564845537,1.9060773480663,1.06202564845537
760473,"2026-06-25","Curaçao",TRUE,0,2,1.83898973954223,1.3432396620093,1.31370418762496,1.44621813387919
760473,"2026-06-25","Ivory Coast",TRUE,0,1,1.55327545382794,0.79750593200527,1.11290955653688,1.02377193810495
760474,"2026-06-26","Senegal",TRUE,0,2,1.41386554621849,0.815694738588017,1.41435777595182,1.91627209690116
760474,"2026-06-26","Iraq",TRUE,0,3,1.39915966386555,1.04406463416608,2.18330368416669,2.70645991039956
760475,"2026-06-26","Norway",TRUE,0,1,1.11344537815126,1.71592587099602,1.00598622583651,1.17597306958361
760475,"2026-06-26","France",TRUE,0,1,1.22829131652661,1.16923461993073,1.02266728649401,1.01288525618365
760476,"2026-06-26","Egypt",TRUE,0,3,1.47941176470588,1.12749875796836,2.09623757646534,2.55925315475465
760476,"2026-06-26","Iran",TRUE,0,4,1.75339366515837,1.17516239459787,2.68523490640372,3.70759084008719
760477,"2026-06-26","New Zealand",TRUE,0,2,1.39915966386555,1.34713718551601,1.42056321180755,1.44432089114431
760477,"2026-06-26","Belgium",TRUE,0,0,1.63494809688581,0.968786331011212,1.63494809688581,0.968786331011212
760478,"2026-06-26","Cape Verde",TRUE,0,1,1.54201680672269,0.880744483007745,1.10892563233959,1.00773220875892
760478,"2026-06-26","Saudi Arabia",TRUE,0,3,1.9841628959276,1.2777673081034,1.7203310342722,2.33418398430783
760479,"2026-06-26","Uruguay",TRUE,0,4,1.38627450980392,1.78433373453377,3.25784857943906,2.64620721452477
760479,"2026-06-26","Spain",TRUE,0,1,0.913865546218487,0.827489217421871,1.00393736936122,1.01684841954358
760480,"2026-06-27","Croatia",TRUE,0,1,1.47026893659018,0.990510531084248,1.08482360247151,1.00004531189521
760480,"2026-06-27","Ghana",TRUE,0,1,1.78756476683938,1.82293956767644,1.2067105387129,1.22248922246003
760481,"2026-06-27","Colombia",TRUE,0,1,1.89778615167216,1.46957182822628,1.25709812818407,1.0846007431794
760481,"2026-06-27","Portugal",TRUE,0,0,1.42972797927461,1.27167613430038,1.42972797927461,1.27167613430038
760482,"2026-06-27","DR Congo",TRUE,0,3,1.41080680977054,1.47392843637289,2.17008104023675,2.1018941797223
760482,"2026-06-27","Uzbekistan",TRUE,0,2,1.41080680977054,1.54463480491819,1.41563049782259,1.36820696510182
760483,"2026-06-27","Jordan",TRUE,0,3,1.2679496669134,1.62349099899394,2.34750565504969,1.96151416318094
760483,"2026-06-27","Argentina",TRUE,0,0,2.1042026482441,0.904644432767951,2.1042026482441,0.904644432767951
760484,"2026-06-27","Algeria",TRUE,0,0,1.2679496669134,1.00844779539929,1.2679496669134,1.00844779539929
760484,"2026-06-27","Austria",TRUE,0,1,1.55366395262768,1.17391266382471,1.11304797076725,1.01357033715816
760485,"2026-06-27","Panama",TRUE,0,2,1.98756476683938,2.27778814499291,1.30689163919053,1.32452560503668
760485,"2026-06-27","England",TRUE,0,1,0.94082356149441,0.771608442028233,1.00182321954033,1.03088649910004
760486,"2026-06-28","South Africa",TRUE,0,0,1.85332914572864,1.348619613695,1.85332914572864,1.348619613695
760486,"2026-06-28","Canada",TRUE,0,2,1.89333028780265,1.08451614352453,1.30980279734516,1.61539545036804
760487,"2026-06-29","Brazil",TRUE,0,2,1.43402777777778,1.07558072989545,1.40620073268755,1.62300645130963
760487,"2026-06-29","Japan",TRUE,0,3,1.17578125,1.24842351172761,2.48174225842012,2.37453828677739
760488,"2026-06-29","Netherlands",TRUE,0,0,1.75480769230769,1.56671183556969,1.75480769230769,1.56671183556969
760488,"2026-06-29","Morocco",TRUE,0,1,1.43402777777778,1.55909895672508,1.07354066495269,1.11499089417696
760489,"2026-06-29","Germany",TRUE,0,2,1.12946428571429,0.834774026471663,1.57912459252927,1.88910964250644
